,OID,osm_way_id,name,correct_name,aeroway,amenity,barrier,boundary,notes,building_type,building_classification ,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,shape_Leng,shape_Area,poly_area,perimeter,CENTROID_X,CENTROID_Y,PNT_COUNT,MIN,MAX,Building_H,shape index,fractal dimensions ,height area,volume,perimeter index,Detour,Detour index
,-1,399994290,,Kitikmeot Foods,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,82.96075678,407.3368112,407.3368112,82.96075678,497367.1693,7667321.638,5,-26.76717949,-25.75761414,1.009565353,0.2036662401,4.909993918,0.00247845352,570976.3437,,,
,-1,399994291,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,62.02333235,194.4503316,194.4503316,62.02333235,497361.3312,7667803.135,5,-20.16934395,-16.33841896,3.830924988,0.3189674805,3.135115838,0.01970130344,238597.17,,,
,-1,399994292,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,63.09840577,208.7886773,208.7886773,63.09840577,497098.2877,7667324.943,9,-29.01959229,-27.09992981,1.919662476,0.3022118181,3.308937441,0.009194284385,251220.5487,,,
,-1,399994293,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,117.6888551,573.5820213,573.5820213,117.6888551,497347.4989,7667214.635,5,-29.34225464,-20.9883213,8.353933334,0.2051822593,4.873715706,0.01456449649,1630069.094,,,
,-1,399994294,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,62.03166451,189.4096586,189.4096586,62.03166451,497365.1791,7667761.332,5,-20.33117294,-15.33058929,5.000583649,0.327500007,3.053435049,0.02640089046,238693.3417,,,
,-1,399994295,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,49.58703427,150.4764623,150.4764623,49.58703427,497366.4508,7667293.402,5,-26.66408348,-25.51060295,1.15348053,0.3295334933,3.034592903,0.00766552132,121928.2677,,,
,-1,399994296,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,50.03461065,148.8040315,148.8040315,50.03461065,497072.8299,7667297.786,5,-30.19314194,-25.06161499,5.131526947,0.3362449938,2.974021973,0.03448513388,125259.7596,,,
,-1,399994297,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,49.36450238,152.1224898,152.1224898,49.36450238,497349.3722,7667175.84,5,-28.64575386,-26.83936882,1.80638504,0.3245049595,3.081617001,0.01187454296,120294.0898,,,
,-1,399994298,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,107.1683151,389.8111279,389.8111279,107.1683151,497398.8586,7667818.577,5,-19.37055016,-11.14109039,8.229459763,0.2749236936,3.637372927,0.02111140287,1230833.216,,,
,-1,399994299,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,103.4388599,365.0299435,365.0299435,103.4388599,497403.4619,7667761.919,5,-19.27837944,-11.30859756,7.969781876,0.2833708899,3.528943994,0.0218332277,1106754.193,,,
,-1,399994300,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,57.59618278,173.2215231,173.2215231,57.59618278,497369.2186,7667247.309,5,-29.2967453,-26.593853,2.702892303,0.3325001522,3.007517421,0.01560367474,191064.9847,,,
,-1,399994301,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,48.3074542,144.1104697,144.1104697,48.3074542,497368.2724,7667138.745,5,-31.80211067,-27.51681137,4.285299301,0.3352112744,2.983193217,0.02973621077,112730.7645,,,
,-1,399994302,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,48.95862847,149.3811628,149.3811628,48.95862847,497371.9822,7667271.826,5,-27.23452187,-24.90645981,2.328062057,0.3277429868,3.051171315,0.01558470971,117351.2524,,,
,-1,399994303,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,41.81922807,108.5026697,108.5026697,41.81922807,497126.0084,7667261.243,5,-31.02536392,-28.23729134,2.788072586,0.3854211898,2.594564145,0.02569588926,73135.46652,,,
,-1,399994304,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,74.76515399,313.2184574,313.2184574,74.76515399,497346.1729,7667136.567,5,-31.5399189,-25.89487076,5.645048141,0.238699707,4.189364171,0.01802271868,417924.37,,,
,-1,399994305,,,,,,,,Garage,Residential,yes,,,,,,,,,,,,,,,,39.17101189,94.30668244,94.30668244,39.17101189,497377.7025,7667474.585,5,-25.98304367,-20.35113335,5.631910324,0.4153577549,2.40756309,0.05971910133,60102.75393,,,
,-1,399994306,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,66.09615941,272.2935074,272.2935074,66.09615941,497355.3622,7667478.023,5,-26.81347084,-17.05093765,9.762533188,0.2427386537,4.119657025,0.03585297821,288754.4429,,,
,-1,399994307,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,74.32046423,247.2711915,247.2711915,74.32046423,497357.9373,7667841.855,5,-20.17993546,-15.52633572,4.653599739,0.3005625677,3.327094281,0.01881982171,410511.4182,,,
,-1,399994308,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,46.96747268,130.7467084,130.7467084,46.96747268,497165.4492,7667284.285,5,-30.90986633,-26.59782791,4.312038422,0.3592248956,2.783771426,0.03298009161,103607.5906,,,
,-1,399994309,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,54.25226277,169.7252173,169.7252173,54.25226277,497112.465,7667344.976,5,-28.37028885,-26.51028633,1.860002518,0.3196476258,3.128444947,0.01095890491,159681.1198,,,
