osm_way_id,centroid_x,centroid_y,area,perimeter,perimeter_index,detour,width,length,pnt_count,exchange,exchange_index,range,range_index,min,max,building_classification,community_name,fractal_dimensions,building_height,height_area,volume,length_width,building_type,predicted,actual,status
146311312.0,236375.9673,458215.524,1358.082946,154.165029,1.1815959999999999,147.32737,44.596852,51.813265,9.0,1159.061592,0.853454,52.467245,1.585112,15.80198097,27.64067459,Commercial,cambridge bay,8.809280255121932,11.838693619999999,0.008717209545167207,16077.927908241003,1.161814403402285,Commercial,Commercial,Commercial,Correct
146311316.0,236330.6174,458523.3054,463.591172,87.96968299999999,1.154016,87.96968299999999,29.283676,22.137738,5.0,383.796205,0.8278760000000001,31.669103999999997,1.5343229999999999,16.85287857,21.86976051,Residential,cambridge bay,5.269897039415272,5.0168819399999975,0.010821780575234936,2325.7821783502322,0.7559753768618394,Multi-Unit Residential,Industrial,Residential,Incorrect
146311319.0,236243.3362,458305.5581,1221.919762,149.32208,1.206561,149.32208,42.425538,56.38860699999999,8.0,889.5100480000001,0.727961,56.26394200000001,1.402091,15.35261822,23.76620102,Commercial,cambridge bay,8.183115062420775,8.4135828,0.0068855444208782675,10280.723092543294,1.3291194327341231,Commercial,Commercial,Commercial,Correct
146311320.0,236753.9965,458352.1783,115.094977,44.7107,1.177144,44.7107,16.198747,12.276077,5.0,89.339732,0.776226,16.412461999999998,1.4751610000000002,10.60272408,13.28372574,Residential,cambridge bay,2.574215500987459,2.6810016599999997,0.023293819851060917,308.5698243946618,0.757841146602265,Single-Unit Residential,Residential,Residential,Correct
146311322.0,235993.5425,458208.1908,669.116281,151.280944,1.6518849999999998,145.29267,61.574825,18.019949,7.0,293.772362,0.43904499999999996,61.846853,0.943883,8.738389969,17.48657227,Commercial,cambridge bay,4.423004400342715,8.748182301,0.013074233207904861,5853.551206755142,0.29265124180214885,Commercial,Residential,Commercial,Incorrect
146311323.0,235973.0948,458282.1157,1295.778294,150.05615500000002,1.177429,144.003413,37.312518,43.640665000000006,9.0,1151.478503,0.888639,51.085521,1.590203,11.43058777,20.90433121,Commercial,cambridge bay,8.63528919556815,9.473743439999998,0.007311237951636808,12275.871112476889,1.1695984977481286,Commercial,Commercial,Commercial,Correct
146311324.0,236281.3417,458095.8956,293.659783,69.022594,1.1376680000000001,69.022594,24.465215,23.733082999999997,5.0,259.692952,0.884333,24.558054000000002,1.574756,12.1724987,18.19167137,Commercial,cambridge bay,4.254545736139677,6.0191726700000014,0.020497095681637826,1767.588940111731,0.9700745732257001,Commercial,Industrial,Commercial,Incorrect
146311325.0,236027.0783,458366.67299999995,1054.558416,194.530435,1.691993,175.298625,73.976878,26.493059999999996,13.0,531.1497009999999,0.50367,74.104042,0.988959,14.07149506,24.10364532,Commercial,cambridge bay,5.421045894438061,10.032150259999998,0.009513129010010193,10579.488487259587,0.35812622425077195,Commercial,Commercial,Commercial,Correct
146311326.0,235834.509,458225.1114,856.474427,143.151509,1.381609,134.73725100000001,51.96532,26.120613,11.0,555.779798,0.6489159999999999,53.095262,1.243903,5.812362671,19.7977581,Commercial,cambridge bay,5.9829926557043835,13.985395429,0.01632902861792043,11978.133536421194,0.5026547127969192,Commercial,Commercial,Commercial,Correct
146311329.0,235864.2976,458188.1393,482.546574,105.408294,1.35535,105.408294,41.683954,17.143329,5.0,280.270605,0.580816,42.848788,1.156954,5.65164566,10.93845749,Residential,cambridge bay,4.577880503407066,5.2868118299999995,0.010956065413905517,2551.13293594917,0.41126926202826153,Multi-Unit Residential,Residential,Residential,Correct
146311337.0,236338.9725,458251.32200000004,3357.5990920000004,241.31134,1.176277,231.43421,72.582989,76.55761700000001,12.0,2851.328209,0.849216,87.502826,1.494436,16.01947784,30.47228241,Commercial,cambridge bay,13.913971436236691,14.452804569999998,0.004304505741747441,48526.72350108545,1.054759772982069,Commercial,Commercial,Commercial,Correct
146311340.0,235994.9917,458174.8679,335.70002900000003,76.450039,1.1785510000000001,76.450039,26.32793,17.202341,5.0,259.674464,0.7735310000000001,28.033046000000002,1.474995,7.846342087000001,16.85759354,Commercial,cambridge bay,4.3911034368471675,9.011251453,0.026843165548252005,3025.0773740983923,0.6533875241995858,Commercial,Residential,Commercial,Incorrect
146311343.0,236311.5814,458448.1089,254.02912999999998,77.525936,1.373889,77.525936,19.737651,31.035433,5.0,144.372722,0.568331,31.654865,1.136283,16.78309631,21.23019218,Commercial,cambridge bay,3.2766986521775108,4.447095869999998,0.01750624375243894,1129.6918948826926,1.57239749552771,Commercial,Residential,Commercial,Incorrect
146311344.0,236168.7465,458440.3931,2616.2453379999997,220.21189900000002,1.21604,208.54530400000002,44.978598,74.10856,17.0,2015.790637,0.77049,79.225439,1.4569999999999999,15.92380428,25.68398666,Commercial,cambridge bay,11.880581157878302,9.760182379999998,0.0037306066974059906,25535.031649704735,1.647640506713882,Commercial,Commercial,Commercial,Correct
146311346.0,236337.7652,458480.9903,248.721575,65.3405,1.170232,65.3405,14.01746,21.656501000000002,5.0,196.44814,0.789832,23.818883,1.49424,16.54937744,22.02927399,Commercial,cambridge bay,3.806545327935966,5.479896549999999,0.02203225252976144,1362.968500753066,1.5449661350915218,Commercial,Residential,Commercial,Incorrect
146311348.0,236319.6154,458401.5063,517.604415,101.471283,1.259768,93.40748,27.194556,33.679446999999996,9.0,422.809468,0.816858,33.65052,1.525781,17.76021576,22.75658417,Commercial,cambridge bay,5.1009940911065454,4.996368409999999,0.009652870542072171,2586.1423479825294,1.238462837929768,Commercial,Commercial,Commercial,Correct
