osm_way_id,building_type,building_classification ,shape_Area,perimeter,CENTROID_X,CENTROID_Y,PNT_COUNT,Building_H,fractal_dimensions ,height_area,volume
399994313,Multi-Unit Residential,Residential,642.2153328,154.5073226,497397.3741,7667703.486,9,9.612455368,4.156536546,0.014967652,3688478.023
399996167,Industrial,Industrial,114.3719668,38.16396709,496115.9284,7665855.663,17,3.678890228,2.99685739,0.032166013,55585.37477
399996168,Industrial,Industrial,109.5667571,37.3474609,496149.6118,7665871.318,17,2.57361412,2.933713684,0.023489005,52093.46479
399996170,Commercial,Commercial,107.8391398,42.95676931,495348.5812,7666305.078,5,4.167383194,2.510410851,0.03864444,79267.44039
399996171,Garage,Commercial,65.85494941,32.4954362,495278.729,7666345.628,5,5.952820778,2.026590719,0.090392914,34313.66548
399996172,Commercial,Commercial,281.9698571,67.61877535,495149.2439,7666314.486,5,4.684481621,4.169993551,0.016613413,309173.244
399996173,Commercial,Commercial,371.585356,79.0844033,495124.2846,7666338.469,5,7.867660522,4.698592143,0.021173225,494620.9719
399996174,Commercial,Commercial,508.0441401,100.3042592,494993.2637,7665823.953,5,24.8787365,5.065030579,0.048969636,1009155.577
399996175,Commercial,Commercial,1276.407965,142.9432189,495034.9279,7665791.305,5,29.99755168,8.929475456,0.023501539,2920725.031
399996176,Commercial,Commercial,600.3651144,101.1281235,495296.8647,7666341.16,5,8.066476345,5.936678083,0.013435951,1034226.94
400015061,Industrial,Industrial,253.0672447,64.73149944,497787.1072,7667313.069,5,3.593840599,3.909491467,0.014201129,271235.7941
400034558,Multi-Unit Residential,Residential,1061.44031,160.7957766,497336.129,7667283.516,5,4.947711945,6.601170333,0.004661319,4157420.114
400034559,Single-Unit Residential,Residential,127.1283099,45.36030571,497198.7665,7667162.829,5,4.205957413,2.802633446,0.033084349,93331.42967
400034560,Single-Unit Residential,Residential,228.6949592,60.75936015,497181.5042,7667176.668,5,5.368522644,3.763946141,0.0234746,224305.3205
400034561,Single-Unit Residential,Residential,210.4456199,58.63552621,497164.2812,7667193.925,5,5.723810196,3.589046325,0.027198524,201596.2647
400034562,Single-Unit Residential,Residential,107.0631871,42.1907473,497133.4806,7667303.948,5,0.343294144,2.537598739,0.003206463,75102.02611
400034563,Garage,Residential,50.78910737,28.65467847,497233.918,7667169.445,5,2.210891724,1.772454275,0.043530825,23528.08709
400034564,Single-Unit Residential,Residential,126.0726263,44.93463329,497370.1764,7667347.629,5,-0.982162476,2.805689444,-0.00779045,90728.47376
400034565,Single-Unit Residential,Residential,222.3006517,65.73128212,497047.6498,7667257.582,7,3.729627609,3.381961291,0.016777403,283998.6728
400034566,Single-Unit Residential,Residential,151.8341308,50.72540925,497103.0312,7667274.755,5,1.721385956,2.993255906,0.011337279,130519.8839
400034567,Multi-Unit Residential,Residential,542.8301536,133.4216898,497266.0408,7667181.744,8,7.595743179,4.068530044,0.013992854,2375085.841
400038508,Industrial,Industrial,85.58501721,32.94558742,495344.137,7667268.216,20,8.106128454,2.597768742,0.09471434,35759.52706
400038509,Industrial,Industrial,200.7875391,50.56450707,495274.4919,7667334.044,17,21.02680045,3.970918551,0.10472164,129281.7832
400038510,Industrial,Industrial,96.36592533,35.03184773,495319.4159,7667274.307,17,7.087532878,2.750809095,0.073548122,42992.14693
400038512,Industrial,Industrial,3133.052097,788.8743293,495232.5865,7667370.942,21,16.46834898,3.971547788,0.005256328,490934408.3
400038513,Industrial,Industrial,329.1773318,81.36062164,495212.2723,7667135.353,5,13.2502985,4.045904827,0.040252767,538570.7642
400038514,Industrial,Industrial,359.3546519,83.24849304,495188.2507,7667139.405,5,14.64820528,4.316650534,0.040762531,576937.9965
400038515,Industrial,Industrial,213.5854825,62.33917147,495265.2293,7667276.185,5,9.885602474,3.42618417,0.046284056,242260.7613
400038516,Industrial,Industrial,390.1834151,85.01036199,495155.4015,7667347.137,5,9.705249786,4.589833591,0.024873558,614349.6236
400038517,Industrial,Industrial,256.2231676,66.23330478,495191.1313,7667279.65,5,9.727943063,3.868494384,0.03796668,290555.6169
400038518,Industrial,Industrial,389.2307644,85.96498022,495236.738,7667130.642,5,11.75165105,4.527782864,0.030191989,635279.2976
400038519,Industrial,Industrial,404.1698766,90.3424608,495107.276,7667337.944,5,12.10364962,4.473753239,0.029946936,737353.503
510557888,Single-Unit Residential,Residential,147.5148142,54.22553446,497412.4525,7667314.76,7,2.062271118,2.720393919,0.013980095,159445.2272
510557889,Garage,Residential,74.60730533,34.57339612,497416.7407,7667331.814,5,1.992174149,2.157939737,0.026702132,41326.26216
510557890,Multi-Unit Residential,Residential,338.1838509,101.541588,497442.2895,7667366.355,9,1.786277771,3.330495981,0.005281972,1046964.253
510557891,Single-Unit Residential,Residential,228.1203592,66.21256224,497445.0079,7667315.64,5,2.627983093,3.445273095,0.01152016,290282.7191
510557892,Single-Unit Residential,Residential,149.7646971,50.54108648,497409.2608,7667288.73,5,2.805475235,2.963226704,0.018732554,129102.2232
510557893,Single-Unit Residential,Residential,157.5486473,51.88448374,497445.2887,7667293.327,5,2.58140564,3.036527223,0.016384816,139673.0122
510557894,Single-Unit Residential,Residential,191.6430724,62.37126051,497415.2222,7667261.1,9,3.781682968,3.072618236,0.019732949,242635.0645
510557895,Single-Unit Residential,Residential,92.62331498,38.71239285,497448.5633,7667266.306,5,0.556890488,2.392601133,0.006012422,58016.30277
510557896,Multi-Unit Residential,Residential,179.6525763,57.18489691,497443.149,7667237.381,5,4.761936188,3.141608816,0.026506362,187001.0424
510557897,Garage,Residential,32.02952193,23.38175284,497450.4761,7667254.772,5,0.346048355,1.369851189,0.010804044,12782.95313
510557898,Single-Unit Residential,Residential,108.3021581,42.26516699,497334.0142,7667367.446,5,0.498348236,2.562444817,0.004601462,75500.14188
510557899,Single-Unit Residential,Residential,100.6683479,41.17276069,497333.084,7667345.33,5,1.288661957,2.445023025,0.012801064,69795.90839
510562349,Commercial,Commercial,622.8601502,121.5811696,497932.428,7667633.663,9,7.67346859,5.122998506,0.01231973,1797210.515
510562351,Commercial,Commercial,136.763495,48.99450807,497877.7458,7667587.113,5,0.274734497,2.791404596,0.002008829,117609.446
510563871,Commercial,Commercial,220.1582277,60.5707042,497484.0273,7667355.25,5,10.99939919,3.634731189,0.049961336,222222.4178
510568140,Commercial,Commercial,211.7023564,67.93765934,498161.8787,7667367.082,9,1.912893295,3.116126732,0.009035768,313568.0029
510568142,Commercial,Commercial,655.0064475,131.3800797,497648.3134,7668016.817,15,6.887040138,4.985584183,0.010514462,2267715.473
